ciudad,genero,edad,direccion,famtam,estadoP,eduM,eduP,trabM,trabP,razon,asistioNMM,internet,tutor,tpoviaje,tpoestudio,areprobadas,apoyoextra,apoyofam,extrapaga,activextra,qsuperior,pololea,qfamrel,tpolibre,saleamigos,salud,inasistencia,G1,G2,G3,nivelalco
La Serena,M,25,URB,MI3,SEP,0,2,servicios,otro,reputacion,no,no,padre,4,3,2,si,si,si,no,no,si,3,5,4,2,30,6.1,6.4,5.7,BAJO
Valparaiso,M,23,RUR,MQ3,SEP,2,4,otro,salud,reputacion,si,si,otro,4,3,0,no,no,si,si,si,si,1,4,2,1,8,4,5.2,4.2,MUYBAJO
La Serena,F,18,URB,MQ3,SEP,4,2,profesor,servicios,cercania,no,no,padre,2,2,2,no,no,no,si,si,si,4,5,3,2,26,3.3,4.2,3.6,ALTO
La Serena,F,22,URB,MQ3,JUN,4,1,servicios,otro,reputacion,no,no,madre,3,2,0,si,si,no,no,si,si,3,3,4,2,18,4,1,2.8,BAJO
La Serena,F,23,RUR,MQ3,JUN,1,4,en_casa,profesor,otro,no,si,otro,1,3,1,si,si,no,si,no,si,5,3,4,3,28,4.1,3.6,3.5,ALTO
La Serena,F,23,RUR,MI3,SEP,3,4,otro,en_casa,reputacion,no,no,padre,4,3,2,no,no,no,si,si,si,1,4,1,4,18,2.8,6.4,7,BAJO
La Serena,F,18,URB,MI3,JUN,1,4,otro,profesor,otro,no,si,padre,1,4,1,si,si,si,no,no,no,4,1,1,2,13,3.6,6.1,5.1,BAJO
La Serena,F,20,URB,MQ3,SEP,3,4,profesor,servicios,curriculo,si,si,padre,4,3,2,no,si,no,no,si,no,2,2,1,5,2,4.3,6.7,5.8,BAJO
Valparaiso,M,19,URB,MI3,SEP,4,4,profesor,en_casa,curriculo,si,si,madre,3,4,1,si,si,si,si,no,si,4,1,2,4,30,3.7,3.6,3.1,ALTO
Valparaiso,M,22,RUR,MQ3,JUN,2,4,en_casa,salud,curriculo,no,si,madre,3,1,0,si,si,si,no,no,no,2,5,2,5,2,5.8,2.8,7,BAJO
Valparaiso,F,25,RUR,MI3,JUN,4,0,profesor,servicios,curriculo,no,si,otro,3,2,1,si,no,si,si,no,no,4,4,5,1,17,4.6,2.8,4.9,NORMAL
La Serena,F,21,URB,MQ3,SEP,1,1,otro,servicios,curriculo,si,si,padre,4,3,3,si,si,no,no,no,si,4,5,1,5,19,5.5,5.5,6.1,BAJO
Valparaiso,M,20,RUR,MQ3,JUN,3,1,salud,servicios,otro,no,si,padre,1,1,0,si,no,no,si,si,no,2,4,3,1,4,4,6.7,5,NORMAL
Valparaiso,M,25,URB,MQ3,SEP,4,3,profesor,profesor,otro,no,si,madre,1,3,3,si,no,no,si,si,si,3,2,1,5,25,2.8,4.3,3.7,BAJO
Valparaiso,M,25,RUR,MQ3,SEP,4,1,profesor,otro,curriculo,si,no,otro,4,1,2,si,no,no,no,si,si,1,4,5,1,15,4.8,4.2,4.7,ALTO
Valparaiso,M,25,URB,MQ3,JUN,4,1,salud,servicios,reputacion,no,si,madre,3,2,3,si,si,no,no,si,no,5,3,5,5,22,4.9,3.1,5.2,BAJO
La Serena,M,18,URB,MQ3,SEP,4,3,salud,salud,cercania,si,si,otro,3,1,3,si,si,no,no,si,no,5,5,3,4,9,4.3,4.6,6.7,BAJO
La Serena,F,20,RUR,MQ3,SEP,1,4,otro,profesor,curriculo,si,si,otro,4,4,1,no,no,no,no,si,no,2,1,2,3,14,2.8,3.4,3.6,NORMAL
